participant.code,ratemo_1,ratemo_2,ratemo_3,ratemo_4,ratemo_5,ratemo_6,ratemo_7,ratemo_8,ratemo_9,ratemo_10,ratemo_11,ratemo_12,ratemo_13,ratemo_14,ratemo_15,ratemo_16,ratemo_17,ratemo_18,ratemo_19,ratemo_20,ratemo_21,ratemo_22,ratemo_23,ratemo_24,Trust1_gen,Trust2_gen,Trust3_gen,Trust4_gen,Trust5_gen,Trust6_gen,q_gender,q_age,q_INK,q_INS,q_INK2,q_INS2,crt_bat,crt_widget,crt_lake,crt_bat01,crt_widget01,crt_lake01,crt,crt_HAP,crt_1st,crt_2nd,crt_3rd,crt_sup,bomb,boxes_collected
6l9hxd1n,2,4,2,2,4,2,4,4,4,1,4,2,2,2,4,2,2,4,4,2,1,2,4,2,5,1,1,5,3,5,female,20,y1-2,y15-20,y1-2,y10-,10,100,12,0,0,0,0,10,1,3,3,2,0,36
62lgo3t7,5,4,5,5,2,4,5,2,3,1,5,2,4,4,4,3,4,4,4,4,4,5,5,4,3,5,5,5,5,7,male,21,y1-2,y4-6,y1-2,y4-6,5,5,100,1,1,0,2,6,3,3,4,3,1,90
upy3ce6y,4,4,4,5,1,5,4,2,2,1,2,5,4,5,2,5,4,4,4,5,3,2,2,1,6,3,5,5,5,5,male,23,y1-2,y1-2,y1-2,y1-2,5,5,47,1,1,1,3,7,3,2,1,1,1,80
tur5nn5r,2,4,4,4,2,2,5,1,4,1,4,3,2,5,2,5,3,5,2,4,2,2,1,1,5,2,2,6,2,6,male,20,y1-2,y4-6,y1-2,y4-6,10,100,47,0,0,1,1,2,4,2,1,1,0,51
fc2dq5pk,4,2,5,2,3,2,5,4,2,1,4,1,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,5,3,female,22,y1-2,y0,y1-2,y0,10,100,12,0,0,0,0,10,2,2,2,3,0,18
e23kzo2r,3,2,3,2,3,3,4,4,3,2,3,4,3,4,2,4,2,3,3,4,2,4,3,2,5,5,4,5,6,5,male,20,y1-2,y12-15,y1-2,y10-,10,20,24,0,0,0,0,8,3,3,2,3,0,51
m39mwv0h,3,3,3,4,4,1,2,3,2,3,3,3,3,4,3,3,4,4,3,3,3,3,4,1,5,6,6,6,6,4,female,22,y4-6,y10-12,y4-6,y10-,5,5,24,1,1,0,2,8,4,1,2,1,1,90
c21qv6gv,2,4,3,2,2,3,3,2,1,1,2,2,3,3,3,3,3,2,4,4,4,5,4,4,6,6,5,5,5,5,male,21,y1-2,y8-10,y1-2,y8-10,10,100,24,0,0,0,0,8,2,4,2,4,1,36
5ro2rmfj,4,2,2,4,3,2,4,2,4,3,4,4,4,5,4,3,5,3,4,2,2,3,2,3,3,4,5,4,5,5,male,20,y1-2,y1-2,y1-2,y1-2,5,5,47,1,1,1,3,9,3,2,2,3,0,40
ynv49870,4,3,4,4,2,4,3,2,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,5,4,4,3,4,5,female,20,y1-2,y4-6,y1-2,y4-6,5,5,47,1,1,1,3,8,3,3,3,3,0,20
85ngrt0l,3,2,4,2,4,2,4,4,2,2,4,2,4,4,2,4,2,2,4,4,3,4,4,4,3,5,5,5,6,4,female,21,y1-2,y8-10,y1-2,y8-10,5,5,47,1,1,1,3,8,3,3,2,3,0,8
3l7qgorb,3,2,4,2,3,3,4,2,4,3,2,3,4,5,5,2,3,4,3,4,2,2,2,2,4,3,4,3,2,5,male,20,y0,y10-12,y0,y10-,5,5,47,1,1,1,3,4,1,4,2,3,1,52
apgq6rc7,2,2,4,1,2,4,4,2,2,3,3,2,2,2,3,2,3,2,3,4,4,3,2,3,5,5,5,5,5,5,female,20,y4-6,y10-12,y4-6,y10-,200,100,25,0,0,0,0,9,4,4,3,2,0,3
